Unnamed: 0,RF
200001,0.41
200002,0.43
200003,0.47
200004,0.46
200005,0.5
200006,0.4
200007,0.48
200008,0.5
200009,0.51
200010,0.56
200011,0.51
200012,0.5
200101,0.54
200102,0.38
200103,0.42
200104,0.39
200105,0.32
200106,0.28
200107,0.3
200108,0.31
200109,0.28
200110,0.22
200111,0.17
200112,0.15
200201,0.14
200202,0.13
200203,0.13
200204,0.15
200205,0.14
200206,0.13
200207,0.15
200208,0.14
200209,0.14
200210,0.14
200211,0.12
200212,0.11
200301,0.1
200302,0.09
200303,0.1
200304,0.1
200305,0.09
200306,0.1
200307,0.07
200308,0.07
200309,0.08
200310,0.07
200311,0.07
200312,0.08
200401,0.07
200402,0.06
200403,0.09
200404,0.08
200405,0.06
200406,0.08
200407,0.1
200408,0.11
200409,0.11
200410,0.11
200411,0.15
200412,0.16
200501,0.16
200502,0.16
200503,0.21
200504,0.21
200505,0.24
200506,0.23
200507,0.24
200508,0.3
200509,0.29
200510,0.27
200511,0.31
200512,0.32
200601,0.35
200602,0.34
200603,0.37
200604,0.36
200605,0.43
200606,0.4
200607,0.4
200608,0.42
200609,0.41
200610,0.41
200611,0.42
200612,0.4
200701,0.44
200702,0.38
200703,0.43
200704,0.44
200705,0.41
200706,0.4
200707,0.4
200708,0.42
200709,0.32
200710,0.32
200711,0.34
200712,0.27
200801,0.21
200802,0.13
200803,0.17
200804,0.18
200805,0.18
200806,0.17
200807,0.15
200808,0.13
200809,0.15
200810,0.08
200811,0.03
200812,0.0
200901,0.0
200902,0.01
200903,0.02
200904,0.01
200905,0.0
200906,0.01
200907,0.01
200908,0.01
200909,0.01
200910,0.0
200911,0.0
200912,0.01
201001,0.0
201002,0.0
201003,0.01
201004,0.01
201005,0.01
201006,0.01
201007,0.01
201008,0.01
201009,0.01
201010,0.01
201011,0.01
201012,0.01
201101,0.01
201102,0.01
201103,0.01
201104,0.0
201105,0.0
201106,0.0
201107,0.0
201108,0.01
201109,0.0
201110,0.0
201111,0.0
201112,0.0
201201,0.0
201202,0.0
201203,0.0
201204,0.0
201205,0.01
201206,0.0
201207,0.0
201208,0.01
201209,0.01
201210,0.01
201211,0.01
201212,0.01
201301,0.0
201302,0.0
201303,0.0
201304,0.0
201305,0.0
201306,0.0
201307,0.0
201308,0.0
201309,0.0
201310,0.0
201311,0.0
201312,0.0
201401,0.0
201402,0.0
201403,0.0
201404,0.0
201405,0.0
201406,0.0
201407,0.0
201408,0.0
201409,0.0
201410,0.0
201411,0.0
201412,0.0
201501,0.0
201502,0.0
201503,0.0
201504,0.0
201505,0.0
201506,0.0
201507,0.0
201508,0.0
201509,0.0
201510,0.0
201511,0.0
201512,0.01
201601,0.01
201602,0.02
201603,0.02
201604,0.01
201605,0.01
201606,0.02
201607,0.02
201608,0.02
201609,0.02
201610,0.02
201611,0.01
201612,0.03
201701,0.04
201702,0.04
201703,0.03
201704,0.05
201705,0.06
201706,0.06
201707,0.07
201708,0.09
201709,0.09
201710,0.09
201711,0.08
201712,0.09
201801,0.12
201802,0.11
201803,0.11
201804,0.14
201805,0.14
201806,0.14
201807,0.16
201808,0.16
201809,0.15
201810,0.19
201811,0.18
201812,0.2
201901,0.21
201902,0.18
201903,0.19
201904,0.21
201905,0.21
201906,0.18
201907,0.19
201908,0.16
201909,0.18
201910,0.16
201911,0.12
201912,0.14
202001,0.13
202002,0.12
202003,0.13
202004,0.0
202005,0.01
202006,0.01
202007,0.01
202008,0.01
202009,0.01
202010,0.01
202011,0.01
202012,0.01
202101,0.01
202102,0.0
202103,0.0
202104,0.0
202105,0.0
202106,0.0
202107,0.0
202108,0.0
202109,0.0
202110,0.0
202111,0.0
202112,0.01
202201,0.0
202202,0.0
202203,0.01
202204,0.01
202205,0.03
202206,0.06
202207,0.08
202208,0.19
202209,0.19
202210,0.23
202211,0.29
202212,0.33
202301,0.35
202302,0.34
202303,0.36
202304,0.35
202305,0.36
202306,0.4
202307,0.45
202308,0.45
202309,0.43
202310,0.47
202311,0.44
202312,0.43
202401,0.47
202402,0.42
202403,0.43
202404,0.47
202405,0.44
202406,0.41
202407,0.45
202408,0.48
202409,0.4
202410,0.39
202411,0.4
202412,0.37
202501,0.37
202502,0.33
202503,0.34
202504,0.35
202505,0.38
202506,0.34
202507,0.34
202508,0.38
202509,0.33
202510,0.37
202511,0.3
202512,0.34
